"timestamp","nbPassengers","age","passengerType","bookingStatus","operatingAirline","originAirport","destinationAirport","departureDate","arrivalDate"
"2019-03-17T13:48:02.532Z","WrappedArray(1)","WrappedArray(39)","WrappedArray(ADT)","WrappedArray(CONFIRMED)","WrappedArray(AF)","WrappedArray(CDG)","WrappedArray(FCO)","WrappedArray(2019-06-10T06:55:00Z)","WrappedArray(2019-06-10T09:00:00Z)"
"2019-03-17T13:48:02.682Z","WrappedArray(1, 1, 1, 1, 1)","WrappedArray(59)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(DL, DL, DL, KL, DL)","WrappedArray(BRU, ATL, ATL, AMS, UIO)","WrappedArray(ATL, UIO, AMS, BRU, ATL)","WrappedArray(2019-03-24T09:30:00Z, 2019-03-24T18:15:00Z, 2019-04-15T17:32:00Z, 2019-04-16T08:55:00Z, 2019-04-14T23:35:00Z)","WrappedArray(2019-03-24T14:22:00Z, 2019-03-24T22:35:00Z, 2019-04-16T08:05:00Z, 2019-04-16T09:40:00Z, 2019-04-15T05:46:00Z)"
"2019-03-17T13:48:02.883Z","WrappedArray(2, 2)","WrappedArray(47, 41)","WrappedArray(ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(KL, KL)","WrappedArray(OPO, AMS)","WrappedArray(AMS, OPO)","WrappedArray(2019-03-30T11:15:00Z, 2019-03-23T08:50:00Z)","WrappedArray(2019-03-30T14:55:00Z, 2019-03-23T10:30:00Z)"
"2019-03-17T13:48:02.5Z","WrappedArray(28, 28)","WrappedArray(70, 26, 73, 60, 46, 64, 62, 66, 57, 69, 49, 27, 73, 76, 64, 73, 67, 72, 72, 61, 67, 67, 44, 65, 27, 60, 64, 68)","WrappedArray(ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(KL, KL)","WrappedArray(SFO, AMS)","WrappedArray(AMS, LAX)","WrappedArray(2019-04-03T13:55:00Z, 2019-03-18T09:55:00Z)","WrappedArray(2019-04-04T09:15:00Z, 2019-03-18T12:55:00Z)"
"2019-03-17T13:48:03.048Z","WrappedArray(2, 2, 2, 2)","WrappedArray(67, 68)","WrappedArray(ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(KL, KL, KL, KL)","WrappedArray(YUL, BSL, AMS, AMS)","WrappedArray(AMS, AMS, BSL, YUL)","WrappedArray(2019-05-29T18:50:00Z, 2019-05-14T10:15:00Z, 2019-05-30T08:25:00Z, 2019-05-14T15:20:00Z)","WrappedArray(2019-05-30T07:35:00Z, 2019-05-14T11:45:00Z, 2019-05-30T09:45:00Z, 2019-05-14T16:50:00Z)"
"2019-03-17T13:48:03.43Z","WrappedArray(1, 1, 1, 1, 1)","WrappedArray(50)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(CZ, CZ, CZ, KL, KL)","WrappedArray(SHE, PEK, PEK, AMS, NCL)","WrappedArray(PEK, AMS, SHE, NCL, AMS)","WrappedArray(2019-04-14T00:00:00Z, 2019-04-15T00:30:00Z, 2019-03-18T00:00:00Z, 2019-04-15T08:35:00Z, 2019-03-17T06:00:00Z)","WrappedArray(2019-04-14T00:00:00Z, 2019-04-15T05:10:00Z, 2019-03-18T00:00:00Z, 2019-04-15T08:45:00Z, 2019-03-17T08:25:00Z)"
"2019-03-17T13:48:03.629Z","WrappedArray(2, 2, 2, 2)","WrappedArray(45, 19)","WrappedArray(ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(KQ, PW, KQ, PW)","WrappedArray(NBO, JRO, JFK, NBO)","WrappedArray(JFK, NBO, NBO, JRO)","WrappedArray(2019-03-26T22:55:00Z, 2019-03-26T18:30:00Z, 2019-03-17T13:00:00Z, 2019-03-18T17:00:00Z)","WrappedArray(2019-03-27T06:55:00Z, 2019-03-26T19:30:00Z, 2019-03-18T10:30:00Z, 2019-03-18T18:00:00Z)"
"2019-03-17T13:48:03.701Z","WrappedArray(1, 1)","WrappedArray(61)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(KL, KL)","WrappedArray(AMS, LCY)","WrappedArray(LCY, AMS)","WrappedArray(2019-03-18T18:20:00Z, 2019-03-21T18:55:00Z)","WrappedArray(2019-03-18T18:25:00Z, 2019-03-21T21:15:00Z)"
"2019-03-17T13:48:03.66Z","WrappedArray(3, 3, 3, 3, 3, 3, 3)","WrappedArray(40, 38, 33)","WrappedArray(ADT, ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, UNACCEPTED, CONFIRMED, CONFIRMED)","WrappedArray(KL, MU, MU, KL, KL, AF, CZ)","WrappedArray(AMS, PVG, PEK, MXP, AMS, CDG, AMS)","WrappedArray(PVG, CDG, HGH, AMS, HGH, FCO, PEK)","WrappedArray(2019-03-16T21:20:00Z, 2019-04-06T12:50:00Z, 2019-03-18T10:40:00Z, 2019-03-16T14:05:00Z, 2019-03-16T17:20:00Z, 2019-04-06T20:45:00Z, 2019-03-17T14:10:00Z)","WrappedArray(2019-03-17T14:55:00Z, 2019-04-06T19:15:00Z, 2019-03-18T12:55:00Z, 2019-03-16T16:00:00Z, 2019-03-17T10:50:00Z, 2019-04-06T22:50:00Z, 2019-03-18T06:55:00Z)"
"2019-03-17T13:48:03.831Z","WrappedArray(1)","WrappedArray(null)","WrappedArray(ADT)","WrappedArray(CONFIRMED)","WrappedArray(A5)","WrappedArray(FCO)","WrappedArray(BOD)","WrappedArray(2019-06-09T11:55:00Z)","WrappedArray(2019-06-09T14:00:00Z)"
"2019-03-17T13:48:03.941Z","WrappedArray(2, 2, 2, 2)","WrappedArray(null, null)","WrappedArray(ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(KL, KL, KL, KL)","WrappedArray(MNL, AES, AMS, AMS)","WrappedArray(AMS, AMS, MNL, AES)","WrappedArray(2019-04-11T20:05:00Z, 2019-06-11T16:50:00Z, 2019-06-11T20:55:00Z, 2019-04-12T14:20:00Z)","WrappedArray(2019-04-12T06:55:00Z, 2019-06-11T18:55:00Z, 2019-06-12T18:45:00Z, 2019-04-12T16:20:00Z)"
"2019-03-17T13:48:04.201Z","WrappedArray(1, 1)","WrappedArray(null)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(AF, AF)","WrappedArray(BIQ, ORY)","WrappedArray(ORY, BIQ)","WrappedArray(2019-03-19T15:50:00Z, 2019-03-18T10:40:00Z)","WrappedArray(2019-03-19T17:15:00Z, 2019-03-18T12:00:00Z)"
"2019-03-17T13:48:04.206Z","WrappedArray(1, 1, 1, 1, 1)","WrappedArray(null)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(OS, AF, KL, SN, KL)","WrappedArray(VIE, CDG, BRU, FLR, AMS)","WrappedArray(CDG, FLR, AMS, BRU, LBA)","WrappedArray(2019-03-19T13:00:00Z, 2019-03-19T17:55:00Z, 2019-03-22T14:45:00Z, 2019-03-22T11:45:00Z, 2019-03-22T16:35:00Z)","WrappedArray(2019-03-19T15:10:00Z, 2019-03-19T19:35:00Z, 2019-03-22T15:35:00Z, 2019-03-22T13:45:00Z, 2019-03-22T16:45:00Z)"
"2019-03-17T13:48:04.783Z","WrappedArray(1, 1)","WrappedArray(null)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(AF, AF)","WrappedArray(CDG, TXL)","WrappedArray(TLN, CDG)","WrappedArray(2019-04-04T11:00:00Z, 2019-04-04T06:15:00Z)","WrappedArray(2019-04-04T12:40:00Z, 2019-04-04T08:05:00Z)"
