"nbPassengers0","nbPassengers1","bookingStatus0","bookingStatus1","operatingAirline0","operatingAirline1","originAirport0","originAirport1","departureDate0","departureDate1","arrivalDate0","arrivalDate1","destinationAirport0","destinationAirport1"
2,2,"CONFIRMED","CONFIRMED","KL","KL","EZE","AMS","2019-04-08T15:35:00Z","2019-03-27T20:55:00Z","2019-04-09T09:55:00Z","2019-03-28T06:45:00Z","AMS","EZE"
1,1,"CONFIRMED","UNACCEPTED","CZ","KL","AMS","AMS","2019-03-18T14:10:00Z","2019-03-17T17:30:00Z","2019-03-19T06:55:00Z","2019-03-18T09:55:00Z","PEK","PEK"
3,3,"CONFIRMED","CONFIRMED","AF","AF","TLS","ORY","2019-05-10T10:20:00Z","2019-05-12T17:45:00Z","2019-05-10T11:40:00Z","2019-05-12T19:00:00Z","ORY","TLS"
5,5,"CONFIRMED","CONFIRMED","KL","KL","DPS","AMS","2019-10-07T20:35:00Z","2019-09-23T21:00:00Z","2019-10-08T07:35:00Z","2019-09-24T19:25:00Z","AMS","DPS"
2,2,"CONFIRMED","CONFIRMED","AF","AF","ORY","FDF","2019-11-07T13:00:00Z","2019-11-06T19:10:00Z","2019-11-07T14:10:00Z","2019-11-07T08:25:00Z","BES","ORY"
2,2,"CONFIRMED","CONFIRMED","AF","AF","CDG","SCL","2019-04-26T14:05:00Z","2019-04-25T15:55:00Z","2019-04-26T15:15:00Z","2019-04-26T10:50:00Z","LYS","CDG"
2,2,"CONFIRMED","CONFIRMED","AF","AF","BCN","CDG","2019-03-17T19:30:00Z","2019-03-17T23:20:00Z","2019-03-17T21:30:00Z","2019-03-18T19:25:00Z","CDG","HND"
1,1,"CONFIRMED","CONFIRMED","KL","KL","GVA","AMS","2019-03-20T17:30:00Z","2019-03-20T21:45:00Z","2019-03-20T19:15:00Z","2019-03-20T22:00:00Z","AMS","MAN"
1,1,"CONFIRMED","CONFIRMED","A5","A5","URO","BIA","2019-05-25T12:20:00Z","2019-06-01T14:50:00Z","2019-05-25T14:10:00Z","2019-06-01T16:40:00Z","BIA","URO"
2,2,"CONFIRMED","CONFIRMED","AF","G3","CDG","VIX","2019-03-23T12:50:00Z","2019-03-22T11:00:00Z","2019-03-23T14:30:00Z","2019-03-22T12:35:00Z","TRN","GRU"
1,1,"CONFIRMED","CONFIRMED","AF","AF","BUD","CDG","2019-04-20T12:10:00Z","2019-04-17T16:45:00Z","2019-04-20T14:30:00Z","2019-04-17T18:55:00Z","CDG","BUD"
1,"","SEAT_AVAILABLE","","AF","","TXL","","2019-03-17T18:05:00Z","","2019-03-17T19:55:00Z","","CDG",""
1,1,"CONFIRMED","CONFIRMED","KL","KL","VIE","AMS","2019-04-13T19:55:00Z","2019-04-10T06:50:00Z","2019-04-13T21:45:00Z","2019-04-10T08:40:00Z","AMS","VIE"
1,1,"CONFIRMED","CONFIRMED","KL","KL","TXL","AMS","2019-07-29T12:15:00Z","2019-07-23T20:45:00Z","2019-07-29T13:35:00Z","2019-07-23T22:00:00Z","AMS","TXL"
2,"","CONFIRMED","","KL","","LHR","","2019-06-15T08:40:00Z","","2019-06-15T11:00:00Z","","AMS",""
1,1,"CONFIRMED","CONFIRMED","KL","KL","KUL","AMS","2019-03-17T23:50:00Z","2019-03-18T09:30:00Z","2019-03-18T05:55:00Z","2019-03-18T11:35:00Z","AMS","MRS"
1,"","CONFIRMED","","A5","","MRS","","2019-03-21T10:05:00Z","","2019-03-21T11:40:00Z","","CFR",""
1,1,"CONFIRMED","CONFIRMED","AF","AF","CDG","LIS","2019-05-17T16:10:00Z","2019-05-19T18:40:00Z","2019-05-17T17:45:00Z","2019-05-19T22:10:00Z","LIS","CDG"
1,1,"CONFIRMED","CONFIRMED","DL","DL","JNB","MCO","2019-03-16T20:25:00Z","2019-03-23T10:50:00Z","2019-03-17T07:15:00Z","2019-03-23T13:24:00Z","ATL","LGA"
1,1,"CONFIRMED","CONFIRMED","AF","AF","ABJ","CDG","2019-08-02T22:30:00Z","2019-07-15T19:05:00Z","2019-08-03T06:55:00Z","2019-07-15T23:20:00Z","CDG","ABJ"
1,1,"CONFIRMED","CONFIRMED","DL","DL","JFK","LGA","2019-03-22T20:30:00Z","2019-03-20T17:00:00Z","2019-03-23T06:55:00Z","2019-03-20T19:16:00Z","MAN","CLT"
2,2,"CONFIRMED","CONFIRMED","A5","A5","TLS","RNS","2019-04-23T17:15:00Z","2019-04-30T15:30:00Z","2019-04-23T18:30:00Z","2019-04-30T16:40:00Z","RNS","TLS"
1,1,"CONFIRMED","CONFIRMED","KL","KE","AMS","AMS","2019-03-10T06:50:00Z","2019-03-17T21:20:00Z","2019-03-10T07:40:00Z","2019-03-18T16:00:00Z","DUS","ICN"
2,2,"CONFIRMED","CONFIRMED","AF","G3","CDG","GRU","2019-03-23T12:50:00Z","2019-04-08T20:55:00Z","2019-03-23T14:30:00Z","2019-04-08T22:20:00Z","TRN","VIX"
2,2,"CONFIRMED","CONFIRMED","AF","AF","JFK","CDG","2019-03-28T19:40:00Z","2019-03-18T13:20:00Z","2019-03-29T08:00:00Z","2019-03-18T16:55:00Z","CDG","JFK"
2,2,"CONFIRMED","CONFIRMED","AF","AF","MUC","CDG","2019-05-13T20:35:00Z","2019-05-09T07:10:00Z","2019-05-13T22:15:00Z","2019-05-09T08:40:00Z","CDG","MUC"
3,3,"CONFIRMED","CONFIRMED","DL","AF","JFK","NCE","2019-08-03T20:15:00Z","2019-07-14T10:40:00Z","2019-08-04T10:25:00Z","2019-07-14T12:10:00Z","NCE","ORY"
1,1,"CONFIRMED","CONFIRMED","AF","AF","ARN","YUL","2019-03-14T12:40:00Z","2019-03-10T19:10:00Z","2019-03-14T15:20:00Z","2019-03-11T07:10:00Z","CDG","CDG"
1,1,"UNACCEPTED","UNACCEPTED","AF","AF","CDG","ICN","2019-06-12T21:00:00Z","2019-06-12T14:40:00Z","2019-06-12T22:55:00Z","2019-06-12T19:35:00Z","CPH","CDG"
2,2,"CONFIRMED","CONFIRMED","KL","G3","AMS","GRU","2019-04-08T10:10:00Z","2019-04-08T20:55:00Z","2019-04-08T17:10:00Z","2019-04-08T22:20:00Z","GRU","VIX"
2,2,"CONFIRMED","CONFIRMED","ME","AF","CDG","CDG","2019-07-08T10:00:00Z","2019-07-20T08:00:00Z","2019-07-08T15:15:00Z","2019-07-20T10:15:00Z","BEY","JFK"
2,2,"CONFIRMED","CONFIRMED","A5","A5","TLS","RNS","2019-04-23T17:15:00Z","2019-04-30T15:30:00Z","2019-04-23T18:30:00Z","2019-04-30T16:40:00Z","RNS","TLS"
28,28,"CONFIRMED","CONFIRMED","KL","KL","SFO","AMS","2019-04-03T13:55:00Z","2019-03-18T09:55:00Z","2019-04-04T09:15:00Z","2019-03-18T12:55:00Z","AMS","LAX"
3,3,"CONFIRMED","CONFIRMED","AF","AF","CDG","OPO","2019-03-28T14:10:00Z","2019-04-25T15:50:00Z","2019-03-28T15:25:00Z","2019-04-25T19:05:00Z","OPO","CDG"
2,2,"CONFIRMED","CONFIRMED","DL","KL","IAH","AMS","2019-03-17T19:56:00Z","2019-04-03T09:50:00Z","2019-03-18T15:35:00Z","2019-04-03T13:05:00Z","LOS","IAH"
1,"","CONFIRMED","","TO","","ORY","","2019-03-24T06:35:00Z","","2019-03-24T09:20:00Z","","TNG",""
1,1,"CONFIRMED","CONFIRMED","AF","AF","DEL","CDG","2019-06-25T00:10:00Z","2019-06-25T13:40:00Z","2019-06-25T06:00:00Z","2019-06-25T17:10:00Z","CDG","MIA"
1,1,"CONFIRMED","CONFIRMED","AF","AF","JFK","CDG","2019-03-16T17:35:00Z","2019-03-17T13:00:00Z","2019-03-17T05:50:00Z","2019-03-17T19:30:00Z","CDG","NSI"
2,2,"CONFIRMED","CONFIRMED","AF","AF","ORY","BOD","2019-05-15T16:50:00Z","2019-04-16T08:10:00Z","2019-05-15T18:00:00Z","2019-04-16T09:25:00Z","BOD","ORY"
2,2,"CONFIRMED","CONFIRMED","AF","AF","HND","EDI","2019-05-17T14:20:00Z","2019-04-29T17:05:00Z","2019-05-17T19:45:00Z","2019-04-29T20:00:00Z","CDG","CDG"
2,2,"CONFIRMED","CONFIRMED","KL","KL","BUD","AMS","2019-10-27T17:05:00Z","2019-10-24T11:20:00Z","2019-10-27T19:15:00Z","2019-10-24T13:15:00Z","AMS","BUD"
8,8,"CONFIRMED","CONFIRMED","AF","AF","CDG","CMN","2019-03-17T15:10:00Z","2019-03-22T16:30:00Z","2019-03-17T18:15:00Z","2019-03-22T19:45:00Z","CMN","CDG"
2,2,"CONFIRMED","CONFIRMED","KL","DL","AMS","DTW","2019-05-17T09:50:00Z","2019-06-08T17:52:00Z","2019-05-17T11:45:00Z","2019-06-09T08:25:00Z","SFO","MUC"
2,2,"CONFIRMED","CONFIRMED","CZ","CZ","AMS","PEK","2019-06-15T00:00:00Z","2019-06-07T00:00:00Z","2019-06-15T00:00:00Z","2019-06-07T00:00:00Z","PEK","AMS"
13,13,"CONFIRMED","CONFIRMED","KL","KL","IAD","AMS","2019-03-28T18:40:00Z","2019-03-18T13:30:00Z","2019-03-29T07:10:00Z","2019-03-18T16:45:00Z","AMS","JFK"
1,1,"CONFIRMED","CONFIRMED","KL","AF","AMS","BOD","2019-03-28T10:05:00Z","2019-03-26T10:15:00Z","2019-03-28T11:50:00Z","2019-03-26T11:35:00Z","BOD","CDG"
1,"","CONFIRMED","","AF","","TLS","","2019-05-20T08:20:00Z","","2019-05-20T09:40:00Z","","ORY",""
1,1,"CONFIRMED","CONFIRMED","AF","AF","CDG","LHR","2019-03-16T13:20:00Z","2019-03-17T15:35:00Z","2019-03-16T13:45:00Z","2019-03-17T17:55:00Z","LHR","CDG"
